Type,CardText
Prompt,"I'm not like other gurukula kids. Toys bore me, and I don't care for simply wonderfuls. I prefer ______."
Prompt,New from Govinda's: it's the Govinda's ______ Samosa.
Prompt,What really killed the demons in Vrindavan?
Prompt,"Alright, gurukula students. The votes are in, and the new ashram mascot will be ______."
Prompt,"And over here is the BBT's famous painting, ""Portrait of _______."""
Prompt,Anyone can do kirtan! Just throw your hands in the air and pretend you're _____________!
Prompt,"Attention temple gift shop visitors. Unfortunately, we will be closing early due to _____________."
Prompt,Chanting on the first round has evolved into _______!
Prompt,"Darn kids! In my day at the ashram, all we needed to have fun was _____________."
Prompt,"Designers! For this week's challenge, you must make a Deity outfit designed for _____________."
Prompt,Do NOT go in the Yamuna. There's _____________ in there.
Prompt,Hey Mataji? Can you sign this permission slip for _______?
Prompt,Hey kids! Are you ready for the best Kartik ever? Welcome to Camp ______!
Prompt,I am very learned. I am currently reading a 500-page commentary about _______.
Prompt,"My name is Arjuna. I was blessed by Lord Shiva, and now I'm ______."
Prompt,New from BBT Press! It's DURYO: The Game of ______.
Prompt,"Next in the festival performance, Gopal will wow us with _____________."
Prompt,Now in toy stores: it's _____________ Hanuman!
Prompt,Our day at the Yamuna was totally ruined by _______.
Prompt,"This Ratha Yatra election day, remember: a vote for me is a vote for _____________!"
Prompt,What ruined Janmashtami?
Prompt,What's keeping Prabhu so busy in the garage?
Prompt,What's my mystic siddhi?
Prompt,And today's Sunday Feast soup is Cream of _____________.
Prompt,"Class, pay close attention. I will now demonstrate the Bhagavatam's description of ______."
Prompt,"Coming to temples this Gaura Purnima season, ""Mahabharata: The Rise of ______."""
Prompt,"Huddle up, brahmacharis! They may be bigger. They may be faster. But we've got a secret weapon: ______."
Prompt,Little Miss Mirabai / Sat on a kusha mat / Eating her halava and ______.
Prompt,Next from Vyasadeva: Bhagavatam and the Chapter of ______.
Prompt,Now in bookstores: Narada Muni and the Mystery of ______.
Prompt,"Oh, no thank you, Mataji. I've had plenty of ______ prasadam for now."
Prompt,"On the 12th day of Janmashtami, my guru gave to me: ______."
Prompt,That's not fair! You can't give me extra service for ______.
Prompt,"Today we honor Narada Muni, the patron saint of ______."
Prompt,"Welcome to Govinda's, where every plate of prasadam comes with _____________!"
Prompt,What killed Old Bhishma?
Prompt,Hey prabhus. I just want to tell all my followers who are struggling with ______: it DOES get better.
Prompt,"Honey, leave your godbrother alone. He's busy with _____________."
Prompt,"Kids, Prabhu is trying something new this week. It's called ""______""."
Prompt,"Mataji! Mataji! Look at me, Mataji! I'm _____________."
Prompt,"New from the deity department, it's ______ Deity outfit!"
Prompt,"Ah HA! It was Chanakya Pandit, in the temple library, with ______!"
Prompt,"Bow wow wow! I'm a big smelly temple dog, and I loooooove _____________."
Prompt,Did you know that Srila Prabhupada invented ______?
Prompt,Gopis just wanna have ______.
Prompt,"Hey, kids. I'm Sensei Trivikrama Swami. Today, I'm gonna teach you how to defend yourself against ______."
Prompt,"I can show you _____________. Shining, shimmering, transcendental."
Prompt,Listen! I'm from the next yuga. You've got to stop _____________!
Prompt,"Thanks for watching! If you want to see more videos of ______, smash that subscribe button and chant Hare Krishna."
Prompt,"The warm August air was filled with change. Things were different, for Bhaktin Emily was now _______."
Prompt,"They call me ""Prabhu ______."""
Prompt,"You don't love me, Prabhu. All you care about is ______."
Prompt,Here lies Stinky Damodara Das. He died from _____________.
Prompt,"I finally finished my autobiography. It's called ""My Prabhu: The Story of _____________."""
Prompt,Mataji!? You have to come pick me up! There's ______ at this program.
Prompt,Oh no. Mataji's new marriage arrangement is _____________.
Prompt,"One ISKCON, under Krishna, indivisible, with mercy and ______ for all."
Prompt,"We're off to see the acharya, the wonderful acharya of ______!"
Prompt,Where do jivas come from?
Prompt,DURYO ANGRY. DURYO DESTROY ______.
Prompt,I put a curse on you! And now you're _____________.
Prompt,"Arjuna will return in ""No Time for ______."""
Prompt,"Coming soon! ""Hanuman vs. ______."""
Prompt,"BBT proudly presents ""_______ on Ice."""
Prompt,ENOUGH! I will not let ______ tear this ashram apart!
Prompt,"Hey Raghunath, I'll give you five bucks if you try ______."
Prompt,"Isn't this great, prabhu? Just you, me, the kids, and _______."
Prompt,Govinda's Restaurant: No rules. Just ______.
Prompt,"Rub a dub dub, _______ in the Radha Kunda!"
Prompt,"We're good, Mataji! Other than _____________, we're all good!"
Prompt,"You're grounded, young lady! No ______ for a whole week."
Prompt,"As your Ayurvedic doctor, I must say this amount of _____________ is abnormal for a bhaktin your age."
Response,A brahmachari's secret stash of cashews.
Response,"A temple cat named ""Narasimha."""
Response,A Super Soaker filled with Yamuna water from 1972.
Response,A big brahmachari coming over and defeating my dad in a scripture debate.
Response,A big wet tilak smear from the overly enthusiastic temple greeter.
Response,A temple dog that stares into the void between arati and prasadam.
Response,A rotisserie eggplant in a silk Deity outfit.
Response,A sloth very slowly doing dandavat pranams across the temple room.
Response,"Accidentally calling the temple president ""Prabhu-mom."""
Response,As many gulab jamuns as will fit in this harmonium case.
Response,Being bad at Sanskrit but good at microwaving yesterday's subji.
Response,Being famous on ISKCON Desire Tree.
Response,Building a ladder of samosas to Goloka Vrindavan.
Response,Eating with your feet because your hands are in your bead bag.
Response,Accidentally sitting on a harmonium during kirtan.
Response,Five tiny brahmacharis in a saffron chaddar pretending to be a sannyasi.
Response,Getting your sikha stuck in the ceiling fan.
Response,"Googling ""how to stay awake during Bhagavatam class."""
Response,"Gross, disgusting, completely revolting subji from 1977 that's still in the temple freezer."
Response,Extra guac on my Govinda's burrito (it's a donation btw).
Response,Hitting a Dahi Handi pot full of bees.
Response,Killing the spider but then feeling bad because ahimsa.
Response,That one brahmachari who won't stop doing Bharatanatyam in the hallway.
Response,"Most of a bull named Dharma, standing on one leg."
Response,"My girlfriend, who lives at the Alachua temple. You wouldn't know her."
Response,"My strong, terrifying daughter who recites Narasimha prayers before meals."
Response,"The loose sikha at the back of a brahmachari's freshly shaved head, known as ""the antenna to Krishna."""
Response,The samosa police at the Sunday Feast line.
Response,The sweet honking of Mataji's harmonium that desperately needs tuning.
Response,Waking up inside a mosquito net in Mayapur and finding a lizard on your face.
Response,"Walking around with a big magnifying glass examining tilak marks going ""hmmmmm."""
Response,A dhoti that eats your dignity every time the wind blows.
Response,A screaming festival organizer three days before Janmashtami.
Response,All of your japa beads falling off the string during mangala-arati.
Response,The sound a new bhakta makes when they try karatalas for the first time.
Response,Monkeys in Vrindavan stealing your glasses.
Response,Knowing everything because you read the Bhagavad Gita once.
Response,NARASIMHADEEEEEVA!
Response,Lighting the ghee lamp and accidentally setting the altar cloth on fire.
Response,Literally dying from the smell of Hing in the kitchen.
Response,Mataji's famous over-spiced cooking offered with so much love you can't complain.
Response,My copy of the Bhagavad-gita that I use to settle every argument.
Response,"My parents, who still don't understand why I gave up garlic."
Response,"The sweet, sweet sound of the conchshell at 4:30 AM whether you like it or not."
Response,"Some weird guy at the back of the temple room who's been ""visiting"" for eleven years."
Response,The Sunday Feast serving mataji who decides your portion size.
Response,"The Vrindavan monkeys, who are the real police."
Response,The whole grihastha family showing up thirty minutes late to Mangala Arati.
Response,This pumpkin subji that somehow appeared in every Sunday Feast for six months.
Response,Trying to catch that dang Vrindavan monkey who stole my glasses.
Response,A very serious tulasi leaf allergy (the worst possible curse).
Response,Kunti Devi dropping bars in her prayers.
Response,Ghosts who didn't finish their rounds.
Response,Imaginary friends who turn out to be Paramatma.
Response,"Balarama, the original John Cena."
Response,"Mayonnaise, which is NOT prasadam, prabhu."
Response,"My father, who is basically Dhritarashtra."
Response,Not having a future to worry about because time is cyclical and this is Kali Yuga anyway.
Response,"Raisins in the sweet rice, which is an act of violence."
Response,Slowly turning into paneer through excessive prasadam consumption.
Response,The yoga teacher who showed up to a kirtan and never left.
Response,A Vaishnava embrace that lasts uncomfortably long.
Response,"A prasadam-devouring temple mouse named ""Ganesh."""
Response,A tilak applicator that's slightly too pointy.
Response,A super angry temple cat who lives under the vyasasana.
Response,Biting into a laddu that turns out to be a soap ball from the gift shop.
Response,Everyone in Bhagavatam class falling asleep at the same time.
Response,The kirtaniya who thinks they're a rock star.
Response,Telling your mom you already offered the cookies to Krishna but you definitely didn't.
Response,Nunchucks made from rolling pins in the temple kitchen.
Response,Snoop Dogg showing up to the temple and leaving as Snoop Govinda Dasa.
Response,A bad kirtaniya who can't hold a tune but chants louder than everyone.
Response,"A big, fat, wiggly, squishy, talking, screaming laddoo that fell on the floor but someone picked it up and said ""Maha is maha."""
Response,Complaining about the Sunday Feast like Duryodhana at a peace negotiation.
Response,"Deep-frying Prabhu's laptop full of ""only transcendental"" downloads."
Response,Bottling Vrindavan dust and selling it on Etsy.
Response,A Barbie doll in a sari with a shaved head.
Response,Finding a bay leaf in your khichri and thinking it's tulasi.
Response,Deep-fried paneer eyes on a Jagannatha cake.
Response,Getting a bunch of tilak tattoos and living in a van down by New Vrindavan.
Response,Getting my nose ring caught on my sari during arati.
Response,Getting my hand stuck in the donation box.
Response,"Grabbing a Godbrother's phone and texting ""Hare Krishna"" to all his contacts."
Response,"Grandmother's dentures flying out during a particularly enthusiastic ""Haribol!"""
Response,Hiding my japa counter in my bead bag so no one sees I'm only on round four.
Response,Ibuprofen after a twelve-hour Ratha Yatra.
Response,Jelly beans offered to Gaura Nitai by a confused new bhakta.
Response,"Kidnapping Rukmini (but it's consensual and romantic, somehow)."
Response,Knee surgery from years of dandavats on marble floors.
Response,LEGO bricks scattered on the temple room floor during a midnight bathroom run.
Response,Illegal Diwali fireworks set off during mangal arati.
Response,Balaram's glistening transcendental muscles.
Response,Lassoing Mayavadis into the Sunday Feast program.
Response,"""Whatever, prabhu."""
Response,Living behind the dumpster at the Hare Krishna temple and surviving on remnants.
Response,Lovingly placing two Govinda's cookies over the eyes of Bhishma on his bed of arrows.
Response,Naptime during the afternoon Bhagavatam class.
Response,Never showering but also never smelling bad because of all the sandalwood paste.
Response,Only dal. For every meal. Forever.
Response,"The rabies you get from petting one of Vrindavan's ""friendly"" monkeys."
Response,"Ratzilla, the giant rat living behind the temple dumpster who has basically taken diksha at this point."
Response,"Screaming ""I AM NARASIMHADEVA!"" and running around the temple chasing people."
Response,The wettest khichri you ever heard hit a plate.
Response,Throwing Simply Wonderfuls at passing karmis.
Response,Toilet cobras in the Mayapur bathroom.
Response,Zipping my little godbrother into a sleeping bag at the brahmachari ashram.
Response,Licking the maha-prasadam plate clean when nobody is watching.
Response,My future arranged-marriage husband who I've met exactly once.
Response,Rich people who come to the temple once a year on Janmashtami and donate exactly eleven dollars.
Response,Wearing a wig and dancing as a gopi in the Janmashtami drama.
Response,A baby with a full tilak.
Response,A japa bag that is also a best friend.
Response,Eating a kachori at Loi Bazaar on Ekadashi and immediately regretting it.
Response,"This material body made of flesh, bone, and yesterday's subji."
Response,The permanent frown of a temple authority when you show up late for mangala-arati.
Response,Going to a restaurant and interrogating the waiter about onion and garlic.
Response,"Honestly, just a big ol' pair of Jagannatha eyes."
Response,In-laws who won't stop asking when you'll get a real job instead of temple service.
Response,Teaching a peacock to attack maya.
Response,"This cow, who is my mother."
Response,A bounce house shaped like Govardhan Hill.
Response,A cloud that rains ghee (courtesy of Indra's apology tour).
Response,A golf course that's been converted into a self-sufficient Hare Krishna farm.
Response,A treasure map that leads to a lost Deity in a Vrindavan basement.
Response,Acting kinda maya.
Response,"An authentic 5,000-year-old Kurukshetra arrow verified by the Bhagavatam Research Institute."
Response,An owl in Vrindavan that hoots disapprovingly at your midnight japa.
Response,Braiding my sikha into an elaborate updo.
Response,Fire ants in the dandavat pit.
Response,Free halava.
Response,Hair growing out of a Nrisimhadeva painting.
Response,"It doesn't matter, it's all maya anyway."
Response,"The Yamuna river, but with liquid ghee instead of water."
Response,"Saying ""Hare Krishna"" instead of ""I love you."""
Response,"Saying mean stuff to people and then adding ""but it's just transcendental"" to justify it."
Response,Some kind of prasadam goblin that follows me around the temple asking for seconds.
Response,Using water balloons as karatalas.
Response,A first-wave Prabhupada disciple who won't let you forget it.
Response,A big ol' plate of Sunday feast khichri that's 90% water.
Response,A big whiny brahmachari who didn't get seconds of halava.
Response,A Deity that speaks to the pujari at 4 AM.
Response,A fake guru made out of charisma and Instagram followers.
Response,A ghee-powered kartals-clapping machine.
Response,A huge honkin' drumstick-sized carrot in the Sunday feast sabji.
Response,"A devotee with two broken kartals, a cracked mridanga, and a japa bag with no beads."
Response,"A wise, old mataji with no teeth and cloudy eyes who remembers Prabhupada."
Response,Accidentally burning down the kitchen during a ghee lamp offering.
Response,An order of paneer pakoras from that sketchy stall near the ISKCON gate.
Response,Fire ants during outdoor kirtan.
Response,Dried chandan flakes falling off your forehead.
Response,Chunks of maha-prasadam halava stuck in your beard.
Response,Agarbatti addiction.
Response,Narasimhadeva's head on a normal guy's body.
Response,That one prabhu who tracks everyone's service hours on a clipboard.
Response,Extremely tight kachcha-style dhoti that restricts all movement.
Response,Extreme coupon-clipping for bulk ghee at Costco.
Response,Chanting so hard your bead bag rips.
Response,Fifty gallons of mango lassi flooding the temple kitchen.
Response,Four trillion rotisserie eggplants from the prasadam kitchen.
Response,"Furries, but they are Jambavan's bear army."
Response,Caranmrita that's been sitting out since Janmashtami.
Response,The free bin at the temple gift shop.
Response,Getting kicked by a Vrindavan cow.
Response,Getting lost in the Mayapur campus.
Response,Going outside for the first time after a month-long Kartik vrata.
Response,Growing a sikha so long it drags on the ground.
Response,Kartals the size of hammers.
Response,Hot breath from too much hing.
Response,Internet trolls on Dandavats.com.
Response,Kheer so thick you could plaster a wall with it.
Response,Kissing your Prabhupada murti goodnight.
Response,Infinite samosas blessed by the Sunday Feast crew.
Response,That one devotee named Jagadish who fixes everything in the temple.
Response,Jumping on a trampoline in a dhoti.
Response,The temple president's wife who actually runs everything.
Response,Living in a mud hut on the banks of the Yamuna with 200 peacocks.
Response,Mall Prabhus distributing books at the holiday kiosk.
Response,Mooing in the goshalla at 4am.
Response,My big donkey-like false ego.
Response,Temple security ninjas guarding the donation box.
Response,Old Brijabasi's Steamy Hing Chutney.
Response,One long sikha growing out of an otherwise bald head.
Response,One weird-lookin' tulasi plant that just won't grow straight.
Response,Paying a brahmachari five rupees to clean the pots for you.
Response,That one prabhu who always keeps extra maha in his bead bag.
Response,Screaming at the peacocks in Vrindavan at four in the morning.
Response,"Shutting up during Bhagavatam class, which has never happened once in ISKCON history."
Response,Squealing like Varaha when He lifted the Earth.
Response,The ratha-yatra cart that keeps losing a wheel.
Response,The beautiful subjis made from a single potato.
Response,The biggest serving spoon you ever saw at the Sunday Feast.
Response,The bold flavor and big crunch of Govinda's Simply Wonderfuls.
Response,The Jagannath Deity whose eyes follow you everywhere.
Response,The fattest temple cat Mayapur has ever known.
Response,The cold marble floor during Mangala Arati.
Response,The mataji who defeated me in a Bhagavatam verse memorization contest.
Response,"The longest tongue in the world, belonging to Lord Narasimhadeva."
Response,Three glasses of hot milk with turmeric at the wrong time.
Response,Throwing up double kartals with my besties at Govinda's Restaurant.
Response,Total Vaikuntha domination.
Response,Wearing Vaishnava tilak and sounding like you've read every purport.
Response,Whatever the grihastha breadwinner does at their karmi job.
Response,"Whispering secrets to my best friend, Surabhi the cow."
Response,"A demigod named ""Jim."""
Response,A big sweaty mridanga player at the Ratha Yatra.
Response,A sabji smoothie.
Response,A deep-fried pakora of suspicious origin.
Response,A hot air balloon powered by the hot air from a four-hour Bhagavatam class.
Response,"A huge, muscular baby Krishna lifting the mortar between the arjuna trees."
Response,A scoop of chutney of unknowable origin.
Response,"An old, dirty temple dog with bad breath who sits in on every class."
Response,Mahabharata manga.
Response,Neem juice acne.
Response,Blossoming into a beautiful young brahmachari.
Response,Calling the GBC.
Response,Dried tulasi leaves: the forbidden protein supplement.
Response,Demanding to speak to the Temple President.
Response,"Digging a hole, burying your japa beads in the hole, falling into the hole during Mangal arati, and dying in the hole in Vrindavan which is actually perfection."
Response,"Narada the Explorer, traveling all fourteen planetary systems."
Response,Fanning Prabhupada's murti so aggressively it blows off his garland.
Response,Fear of offending Vaishnavas.
Response,Getting pushed into the Ganges fully clothed.
Response,Licking the last drop of charanamrita off your palm.
Response,Old dried-out prasadam from three festivals ago.
Response,SILENCE IN THE TEMPLE ROOM!
Response,Shaving Dad's back because he's taking brahmana initiation tomorrow.
Response,"Kaupins, the underwear that goes up your transcendental rear."
Response,"Throwing your guru's slippers on the vyasasana and yelling, ""Now I am guru!"""
Response,Turning 108.
Response,Burning camphor during arati and pretending it's vaping.
Response,Violating the Deity dress code by putting sunglasses on Jagannath.
Response,"Vomiting with transcendental ecstasy, which is one of the eight symptoms of prema."
Response,A water balloon filled with mango lassi.
Response,A pigeon pooping on the GBC chairman's head during Mayapur festival.
Response,"A kirtan group, but instead of singing and dancing they aggressively distribute books."
Response,A cursed jackal from the tenth canto with no backstory.
Response,A sannyasi who is napping but doesn't know he is napping.
Response,A plate of halava as big as Yashodamayi's love.
Response,A tiny brahmachari who solves tiny philosophical doubts.
Response,Aliens who are actually just residents of the higher planetary systems.
Response,"An invisible Supersoul who witnesses all of your giant, visible sins."
Response,Anxiety about your japa count and depression about your anarthas.
Response,"Being French, hoh-hoh-hoh! (a.k.a. the Paris ISKCON temple energy)."
Response,"Being in tamasic mode all day and calling it ""meditation."""
Response,"Big, slappy hands from too much mridanga practice."
Response,Cartwheeling into the middle of Ratha-yatra.
Response,Crying in the bathroom after your japa score.
Response,Parashurama's anger management problems.
Response,Mataji's famous dahl that could bring Vaikuntha to earth.
Response,Drunk-on-nectar devotees after the Gaura Purnima kirtan.
Response,Fighting maya with my massive tilak.
Response,Kissing a toad who is actually Indra in disguise.
Response,Getting grounded from kirtan forever.
Response,Getting my sacred thread tangled in everything.
Response,Grandfather's Prabhupada-days war stories.
Response,Gross amounts of hing in everything.
Response,HANDS THAT SHOOT SUDARSHANA CHAKRAS.
Response,"Here comes the bullock cart, baby!"
Response,"Arjuna, the original Iron Man of the Vedic age."
Response,Precocious gurukula kids who already memorized the Twelfth Canto.
Response,"Ashwatthama, who is still out there somewhere."
Response,"Just hangin' out in Vrindavan, eatin' dust."
Response,Temple lawyers dealing with the zoning board again.
Response,Literally ruining my spiritual life.
Response,Ratha Yatra cart racing.
Response,"Meat blindness, also known as tamo-guna."
Response,"Subji balls, subji balls, subji balls!"
Response,Mataji's new sari that's also somehow a cape.
Response,"Mom's spaghetti, but it's actually sevai kheer."
Response,My cool aunt who left the ashram but still does kirtan at home.
Response,My ex-ashram.
Response,My followers on Krishna Tube.
Response,Shunya. Void. Nothing. The Mayavadi dream.
Response,"Caranamrta, but purple."
Response,Peer pressure to take initiation before you're ready.
Response,"Whether to call Arjuna ""he"" or ""the supreme instrument of the Lord's will."""
Response,Pushing a halava pot around in a stroller because it's your baby now.
Response,Ruining Gaura Purnima by eating grains.
Response,"Salad, which is what you eat on ekadasi when the cook forgot to plan anything."
Response,Seventy-three identical temple cats who all showed up for prasadam.
Response,"Sitting atop a pile of halava, like some kind of halava queen."
Response,Sitting on the temple toilet and chanting your rounds in there because it's the only quiet place.
Response,"Smelling like onions, which means you're either a karmi or a very fallen devotee."
Response,Social media accounts run by devotees who post kirtan clips with way too many hashtags.
Response,"Hanuman, who is basically Spider-Man but stronger, older, and a pure devotee."
Response,Spiders in the temple room that nobody wants to kill because ahimsa.
Response,"Stress, which Arjuna invented on the battlefield of Kurukshetra."
Response,The answers to tomorrow's Bhakti Shastri exam.
Response,The octopus-shaped deep-fried pakora stuck to my plate.
Response,"The Hare Krishna maha mantra that never ends, it just goes on and on, my friends."
Response,Throwing a water balloon full of colored dye at the temple president during Holi.
Response,Trying really hard not to cry during the departure kirtan.
Response,Dancing in kirtan so hard your dhoti falls off.
Response,"""Hare Krishna Hare Krishna"" on repeat forever (but that's actually the goal)."
Response,A 40-piece Sunday Feast plate that just keeps getting reloaded.
Response,A big sad Jatayu with no wings.
Response,A vyasasana that absorbs anyone who sits on it unqualified.
Response,A Deity that drinks real milk!
Response,Being forced by the guru to attend mangala-arati for the rest of your life.
Response,Being the devotee who plays kartals way too loud during kirtan.
Response,The quarantine pastime where Narada visited every house and Krishna was in all of them.
Response,Cabbage sabji again for the fifth straight day.
Response,The one brahmachari who secretly has a coffee habit.
Response,Driving around town on a ratha cart blasting Hare Krishna.
Response,Evil walking dhotis possessed by a Kali-yuga ghost.
Response,Grandmother doing full dandavats at the temple.
Response,Helping my Godsister with her scoliosis from too many dandavats.
Response,The hiccups you get from drinking caranamrita too fast.
Response,Illegal aliens from the higher planets visiting without Yamaraja's permission.
Response,Putting chutney on absolutely everything.
Response,Kid brahmacharis who can out-chant anyone.
Response,Intensely staring at Lord Jagannatha's enormous eyes.
Response,Magical prasadam halava that makes you forget all material desires.
Response,Mystery vegetables in the Sunday Feast subji.
Response,One tough mataji who runs the whole Sunday Feast program solo.
Response,Putting my head on the floor for dandavat pranams on absolutely everything.
Response,"Putting peanut butter on one chapati and jam on the other and calling it ""fusion prasadam."""
Response,Really bad Dad jokes from the temple president during Sunday Feast announcements.
Response,"Seymour Dhoti, the devotee whose cloth keeps falling off during kirtan."
Response,Slow internet in the Vrindavan ashram.
Response,Smooshing a samosa through a screen door.
Response,LEADING KIRTAN WAY TOO LOUD AT 4:30 AM.
Response,Teeny tiny balls of paneer stuck to the bottom of the wok.
Response,The brahmachari left in charge of the gurukula kids.
Response,The goat-legged mystic yogi who lives in a Himalayan cave.
Response,The block of tofu that materialists think devotees survive on.
Response,Transferring my consciousness into a sacred cow at Goshalla.
Response,A hundred screaming monkeys building a bridge to Lanka.
Response,"A painting of a river-bathing scene from the Bhagavatam that the art teacher says is ""transcendental."""
Response,Being in the mode of ignorance.
Response,Covering my body with sesame oil and sliding across the temple marble floor like a snail.
Response,"Creepy Durvasa Muni, a 10,000-year-old rishi who lives in the forest and shows up uninvited."
Response,When a karmi sees you doing dandavats in the airport.
Response,Eating leftover maha-prasadam out of the donation box.
Response,Eating khichdi out of my chadar.
Response,Gopi-dots and tilak that won't stay on in the summer.
Response,Falling off Govardhan Hill during parikrama.
Response,Splashing around in Radha Kunda fully clothed.
Response,Finding a whole neem twig in your Simply Wonderfuls.
Response,Getting a Simply Wonderful that's already been licked.
Response,"Giving birth to 16,108 sons because you married Krishna."
Response,Hitting my Godbrother with a rolled-up BTG.
Response,Hunting my Godbrothers with a water gun during Holi.
Response,Illegally smuggled Vrindavan sweets.
Response,"Lasagna, but it's actually seven-layer rice-subji-dal-puri-halava-chutney-kheer prasadam."
Response,Licking every Simply Wonderful in the box.
Response,Leaving the temple room door open while the deities are being dressed.
Response,Head lice going around the gurukula for the fifth time this year.
Response,Looking through the window of the pujari room while they dress the deities.
Response,My god-sister's sikha hair all over the ashram bathroom.
Response,"Nuclear war at the end of Dvapara Yuga, also known as the Brahmastra."
Response,"Santa Claus, who is clearly just a demigod operating under the jurisdiction of Indra."
Response,"Shouting ""Haribol!"""
Response,Sitting on a cake that was supposed to be the Deity's birthday offering.
Response,Sneezing tulasi leaves out of my nose.
Response,Stank breath from chewing raw tulasi on an empty stomach at 4 AM.
Response,Stuffing my dhoti with laddu.
Response,The big parachute-sized chadar Grandfather Bhishma was lying on.
Response,"The huge, stupid Rahu swallowing the moon."
Response,Using my danda as a back scratcher.
Response,Wearing a turban and talking like a Vrindavan Brijbasi.
Response,A single tulasi leaf placed with great devotion.
Response,A Manipuri kirtan band.
Response,An eggy smell coming from the neighbor's kitchen that tests your tolerance.
Response,Aunty Pishima.
Response,Becoming taller and stronger than the temple president.
Response,Bleeding ghee after years of only eating prasadam.
Response,Crab-walking from the bathroom to retrieve your dhoti that fell off at the other end of the ashram.
Response,Driving a bullock cart on the highway.
Response,Forgetting your dhoti at the Sunday Feast.
Response,Getting a big smooch from the pujari who just ate raw garlic by accident.
Response,Having an extra set of arms like Lord Vishnu.
Response,Illegally downloaded kirtan.
Response,Like a million sacred cows all mooing at once.
Response,Locking Mother Yashoda's butter pot in the pantry.
Response,Making Kamsa cry.
Response,"Me, your Guru Maharaja."
Response,Mouth-to-mouth resuscitation of your japa practice.
Response,My dang bramhachari disciples.
Response,Piledriving my brother through the temple room floor during Damodarastakam.
Response,"Varuna, Lord of the Sea, who is basically just Poseidon's older, more qualified Vedic brother."
Response,"Screaming the F-word, which in ISKCON stands for ""Forget Krishna"" and is the worst obscenity."
Response,"Sharks with legs, which is definitely one of Brahma's 8,400,000 species."
Response,Slapping my huge belly after fourth-plate Sunday Feast.
Response,"Space lasers, which are basically just the Brahmastra but modern."
Response,Kamsa's secret police.
Response,The brahmachari on garbage seva.
Response,The devotee on bathroom cleaning seva.
Response,Uncle Nanda Maharaja.
Response,"A chariot with legs instead of wheels (oh wait, that's just the devotees pushing it)."
Response,A peacock that has tulasi as a crown and a tail the size of a vyasasana.
Response,Anti-tilakers.
Response,Bad parenting according to the Manu Samhita.
Response,Big Vrindavan boys with tilak tans.
Response,Cool sunglasses on the six-armed form of Chaturvyuha.
Response,Covering myself with turmeric and tamarind because I am a samosa.
Response,Drinking caranamrta to see what it tastes like and then becoming spontaneously ecstatic.
Response,Drinking chai and smoking philosophy with the babajis.
Response,"Dumbness as described in the mode of ignorance, Bhagavad-gita 14.8."
Response,"Eating a whole tulasi plant, manjaris and all."
Response,Spontaneous combustion from offending a brahmana.
Response,Force-feeding someone a tulasi leaf.
Response,"Krishna knows, and honestly I couldn't even tell ya."
Response,"Rahu's long, creepy shadow fingers during the eclipse."
Response,Making out behind the book distribution van.
Response,Making the bees angry by taking too much honey for the Madhu offering.
Response,Committing spiritual suicide by eating bhoga.
