Type,CardText
Prompt,Oh no. Mataji's new marriage arrangement is _____________.
Prompt,"Oh noooooo, the substitute Bhagavatam class speaker is ______!"
Prompt,"Oh, no thank you, Mataji. I've had plenty of ______ prasadam for now."
Prompt,"Oh, that's my mataji's friend Chaitanya Prabhu. He comes over and helps her with _______."
Prompt,Old MacDonald had _____________. Hare Krishna Hare Krishna.
Prompt,"On the 12th day of Janmashtami, my guru gave to me: ______."
Prompt,"On the next episode of ""Travels with Narada Muni,"" Narada explores _______."
Prompt,"One ISKCON, under Krishna, indivisible, with mercy and ______ for all."
Prompt,Our day at the Yamuna was totally ruined by _______.
Prompt,Govinda's Restaurant: No rules. Just ______.
Prompt,"Prabhu, come quickly! There, in the tulasi garden! Do you see ______? Tell me you see it, Prabhu!"
Prompt,Temple security! Stop this devotee! He's ______!
Prompt,"Princess Rukmini, the kingdom is in danger! You must stop ______."
Prompt,"Put on your tilak, strap on your bead bag, and get ready for ______!"
Prompt,"Rub a dub dub, _______ in the Radha Kunda!"
Prompt,"Run, run, as fast as you can. You can't catch me, I'm ______!"
Prompt,"Quiet, Urmila! At least I'm not ______."
Prompt,"Son, we need to talk. We found _____________ under your asana mat."
Prompt,"Thanks for watching the ashram kids! Just a heads up: Gopika's going through a bit of a ""_____________"" phase."
Prompt,"Thanks for watching! If you want to see more videos of ______, smash that subscribe button and chant Hare Krishna."
Prompt,That's not fair! You can't give me extra service for ______.
Prompt,"Lord Indra called. He needs _____________, NOW!"
Prompt,The aliens are here. They want _______.
Prompt,The easiest way to tell me and my twin apart is that I have a freckle on my cheek and she's _______.
Prompt,The hills of Govardhan are alive with the sound of _____________!
Prompt,"The warm August air was filled with change. Things were different, for Bhaktin Emily was now _______."
Prompt,There's nothing better than a peanut butter and ______ sandwich from Govinda's.
Prompt,"They call me ""Prabhu ______."""
Prompt,"This Ratha Yatra election day, remember: a vote for me is a vote for _____________."
Prompt,"This is gonna be the best ashram sleepover ever. Once Mataji and Prabhu go to bed, it's time for ______!"
Prompt,This is your captain speaking. Fasten your seatbelts and prepare for _____________.
Prompt,"Time to put on my favorite t-shirt, the one that says ""I heart ______."""
Prompt,"Today we honor Narada Muni, the patron saint of ______."
Prompt,"Today, we had a gurukula assembly warning about the dangers of _____________."
Prompt,"We're good, Mataji! Other than _____________, we're all good!"
Prompt,We're not supposed to go in the brahmachari ashram storage room. They keep ______ in there.
Prompt,"We're off to see the acharya, the wonderful acharya of ______!"
Prompt,"Welcome to Govinda's, where every plate of prasadam comes with _____________!"
Prompt,"Welcome! We're glad you're here at the temple. Now sit back, relax, and enjoy ______."
Prompt,"Well, look at what we have here! A big fancy man walkin' in like he's ______."
Prompt,What killed Old Bhishma?
Prompt,What really killed the demons in Vrindavan?
Prompt,What ruined Janmashtami?
Prompt,What would be way cooler on fire?
Prompt,What's about to take this gurukula dance to the next level?
Prompt,What's all fun and games until somebody gets hurt?
Prompt,What's keeping Prabhu so busy in the garage?
Prompt,What's pretty much the stupidest thing in the world?
Prompt,What's my mystic siddhi?
Prompt,"When I barfed, what came out of my mouth?"
Prompt,"When I grow up, I'm gonna be _____________."
Prompt,"When I look in the mirror, I see ______."
Prompt,"When I pooped, what came out of my butt?"
Prompt,Where do jivas come from?
Prompt,"Whoa there, partner! Looks like _______ spooked Arjuna's horses."
Prompt,"Yarrrr! Captain Jatayu, 'tis bad luck to bring _____________ aboard a pushpaka vimana!"
Prompt,"You don't love me, Prabhu. All you care about is ______."
Prompt,"You're grounded, young lady! No ______ for a whole week."
Prompt,"Young lady, we do not allow ______ at the prasadam table."
Prompt,_______? No.
Response,"""Hare Krishna Hare Krishna"" on repeat forever (but that's actually the goal)."
Response,"14 samosas, 6 laddu, and a medium cup of nimbu pani."
Response,20 million gopis with hypnotizing lotus eyes.
Response,A 40-piece Sunday Feast plate that just keeps getting reloaded.
Response,A karmi.
Response,"A demigod named ""Jim."""
Response,A single tulasi leaf placed with great devotion.
Response,A mayavadi.
Response,A Super Soaker filled with Yamuna water from 1972.
Response,A first-wave Prabhupada disciple who won't let you forget it.
Response,A baby with a full tilak.
Response,A bad kirtaniya who can't hold a tune but chants louder than everyone.
Response,A bad Bhagavatam class speaker who just reads the purport word for word.
Response,A water balloon filled with mango lassi.
Response,Jambavan.
Response,A beautiful painting of Lord Jagannatha's big round eyes.
Response,A big brahmachari coming over and defeating my dad in a scripture debate.
Response,A big ol' plate of Sunday feast khichri that's 90% water.
Response,Govardhan Hill.
Response,A big sad Jatayu with no wings.
Response,A big sweaty mridanga player at the Ratha Yatra.
Response,A big wet tilak smear from the overly enthusiastic temple greeter.
Response,A big whiny brahmachari who didn't get seconds of halava.
Response,"A big, and I mean BIG Kurma avatar."
Response,"A big, fat, wiggly, squishy, talking, screaming laddoo that fell on the floor but someone picked it up and said ""Maha is maha."""
Response,A pigeon pooping on the GBC chairman's head during Mayapur festival.
Response,The mahat-tattva.
Response,A bounce house shaped like Govardhan Hill.
Response,A bountiful harvest of Damodara month pumpkins and gourds.
Response,"A kirtan group, but instead of singing and dancing they aggressively distribute books."
Response,"A devotee who is very sweet, but very new."
Response,A brahmachari's secret stash of cashews.
Response,A bunch of dead demon bodies on the Kurukshetra battlefield.
Response,A sabji smoothie.
Response,A dhoti that eats your dignity every time the wind blows.
Response,A Deity that speaks to the pujari at 4 AM.
Response,"A chariot with legs instead of wheels (oh wait, that's just the devotees pushing it)."
Response,A caveman named Jada Bharata.
Response,A peacock that has tulasi as a crown and a tail the size of a vyasasana.
Response,A cloud that rains ghee (courtesy of Indra's apology tour).
Response,A deep-fried pakora of suspicious origin.
Response,A vyasasana that absorbs anyone who sits on it unqualified.
Response,"A cow that produces more cows (Surabhi, basically)."
Response,Mother cow.
Response,"A cowherd boy who is half boy, half butter thief."
Response,A cursed jackal from the tenth canto with no backstory.
Response,Bhishma on the bed of arrows.
Response,"A dead Putana, expanding across the landscape."
Response,"Timingila, the whale-swallowing fish."
Response,A sannyasi who is napping but doesn't know he is napping.
Response,A temple dog that stares into the void between arati and prasadam.
Response,A Deity that drinks real milk!
Response,A fake guru made out of charisma and Instagram followers.
Response,A conch blast that can be heard over the entire Kurukshetra battlefield.
Response,Sudarsana Chakra.
Response,"A temple cat named ""Narasimha."""
Response,A ghee-powered kartals-clapping machine.
Response,Srila Prabhupada's glorious saffron.
Response,A golf course that's been converted into a self-sufficient Hare Krishna farm.
Response,"A snake with no legs (Ananta Shesha, technically)."
Response,A hot air balloon powered by the hot air from a four-hour Bhagavatam class.
Response,A Vaishnava embrace that lasts uncomfortably long.
Response,A huge honkin' drumstick-sized carrot in the Sunday feast sabji.
Response,"A huge, muscular baby Krishna lifting the mortar between the arjuna trees."
Response,A hundred screaming monkeys building a bridge to Lanka.
Response,A killer Narasimhadeva.
Response,"A long, hot abhisheka."
Response,"A long, long Ananta Shesha."
Response,"A man with a conch for a mouth and a lotus for a hand (wait, that's just Vishnu)."
Response,A Manipuri kirtan band.
Response,A japa bag that is also a best friend.
Response,"A painting of a river-bathing scene from the Bhagavatam that the art teacher says is ""transcendental."""
Response,A neck as incredibly thick as Balarama's.
Response,"A nice, warm glass of Govardhan Hill milk, straight from the cow."
Response,A pair of lotus feet just walking around Vrindavan.
Response,"A devotee with two broken kartals, a cracked mridanga, and a japa bag with no beads."
Response,"A prasadam-devouring temple mouse named ""Ganesh."""
Response,A plate of halava as big as Yashodamayi's love.
Response,A pregnant Devaki in chains.
Response,A tilak applicator that's slightly too pointy.
Response,A rotisserie eggplant in a silk Deity outfit.
Response,A scoop of chutney of unknowable origin.
Response,A screaming festival organizer three days before Janmashtami.
Response,Kamsa.
Response,A sloth very slowly doing dandavat pranams across the temple room.
Response,A smelly sadhu from the 1800s who hasn't bathed since Kartik.
Response,A murti of a naked Digambara Jain that someone accidentally put in the Krishna temple.
Response,A stranger with maha-prasadam.
Response,A super angry temple cat who lives under the vyasasana.
Response,A tiny brahmachari who solves tiny philosophical doubts.
Response,A treasure map that leads to a lost Deity in a Vrindavan basement.
Response,A bullock cart.
Response,Attachment to the material world that just won't flush.
Response,A surabhi cow that gives rivers of condensed milk.
Response,A very serious tulasi leaf allergy (the worst possible curse).
Response,A water bottle that drinks your attachment to sense gratification.
Response,A whole lot of kumkum.
Response,A whole pot of yesterday's dahl.
Response,"A wise, old mataji with no teeth and cloudy eyes who remembers Prabhupada."
Response,Arjuna.
Response,Accidentally burning down the kitchen during a ghee lamp offering.
Response,"Accidentally calling the temple president ""Prabhu-mom."""
Response,Acting kinda maya.
Response,Grihasthas.
Response,Bharata-varsha.
Response,Aliens who are actually just residents of the higher planetary systems.
Response,All of your japa beads falling off the string during mangala-arati.
Response,Solitary bhajan in a locked room.
Response,"An authentic 5,000-year-old Kurukshetra arrow verified by the Bhagavatam Research Institute."
Response,An eggy smell coming from the neighbor's kitchen that tests your tolerance.
Response,"An independent woman in Kali-yuga (one of the signs, apparently)."
Response,"An invisible Supersoul who witnesses all of your giant, visible sins."
Response,"An old, dirty temple dog with bad breath who sits in on every class."
Response,An order of paneer pakoras from that sketchy stall near the ISKCON gate.
Response,An owl in Vrindavan that hoots disapprovingly at your midnight japa.
Response,An ugly demon who eats planets.
Response,Angering the demigods.
Response,Mahabharata manga.
Response,Anti-tilakers.
Response,Fire ants during outdoor kirtan.
Response,Anxiety about your japa count and depression about your anarthas.
Response,Radharani (but mentioning Her name with great reverence).
Response,As many gulab jamuns as will fit in this harmonium case.
Response,"Sarasvati, Goddess of Learning."
Response,Aunty Pishima.
Response,GARUDA.
Response,Baby Krishna (Bala Gopala).
Response,First-generation ISKCON devotees.
Response,Neem juice acne.
Response,Bad parenting according to the Manu Samhita.
Response,Kaustubha gems.
Response,The sound a new bhakta makes when they try karatalas for the first time.
Response,Barfing into a prasadam plate after your third plate of Ekadashi feast.
Response,Barfing mustard-yellow haldi after a turmeric milk overdose.
Response,Bathing in the Radha Kunda at 4 AM.
Response,Hanuman.
Response,Beautiful Grandmother Bhumi Devi.
Response,Becoming taller and stronger than the temple president.
Response,Becoming the next GBC.
Response,"Varuni (the celestial beverage, not the gross one)."
Response,"Being French, hoh-hoh-hoh! (a.k.a. the Paris ISKCON temple energy)."
Response,"Being Varaha, the cosmic boar."
Response,Being adopted by Nanda and Yashoda.
Response,Being bad at Sanskrit but good at microwaving yesterday's subji.
Response,Being born from Brahma's navel lotus.
Response,Being in the mode of ignorance.
Response,Being a sahajiya.
Response,Being famous on ISKCON Desire Tree.
Response,Being forced by the guru to attend mangala-arati for the rest of your life.
Response,Being hunted by Jatayu's owl cousins.
Response,"Being in tamasic mode all day and calling it ""meditation."""
Response,Being the devotee who plays kartals way too loud during kirtan.
Response,Being pregnant with a demon who already tried to kill you twice from the womb.
Response,Being super serious about the no-garlic policy right now.
Response,Being trapped inside the temple donation box.
Response,Being unable to advance spiritually because I am a bodily concept.
Response,Being a raw-food devotee who refuses even Radharani's cooking.
Response,Bench pressing a full pot of Sunday Feast rice.
Response,Mother Yashoda.
Response,Big Vrindavan boys with tilak tans.
Response,Big Bhima.
Response,Aghasura's belly full of cowherd boys.
Response,Kaliya Nag!
Response,"Big, juicy pustules from Putana's false breast milk."
Response,"Big, slappy hands from too much mridanga practice."
Response,A gopi who only sings in whisper-voice during rasa-lila.
Response,Biting into a laddu that turns out to be a soap ball from the gift shop.
Response,Biting off Shishupala's ear before the hundredth offense.
Response,Blaming a fart on the temple dog during Bhagavatam class.
Response,Blasting farts in the pujari room during arati.
Response,Blasting my gurukula teacher into the Brahmanda with the Brahmastra.
Response,Bleeding ghee after years of only eating prasadam.
Response,Blossoming into a beautiful young brahmachari.
Response,Blowing kisses at the sankirtana devotee handing out books.
Response,Blowing up Rahu right before the eclipse.
Response,Gopi dots body glitter.
Response,The Narayanastra.
Response,The Ashvini Kumaras.
Response,Dried chandan flakes falling off your forehead.
Response,Boring Mayavadi philosophy that nobody cares about.
Response,Brahmacharis.
Response,Braiding my sikha into an elaborate updo.
Response,Building a ladder of samosas to Goloka Vrindavan.
Response,Burning Ravana's Lanka.
Response,Holika bursting into flames instead of Prahlad.
Response,Hanuman's tail hair.
Response,Getting your head replaced by an elephant's after a mishap with Lord Shiva.
Response,The cave Jambavan dragged Krishna into.
Response,Jambavan's buttocks of all shapes and sizes after fighting Krishna for 28 days.
Response,The quarantine pastime where Narada visited every house and Krishna was in all of them.
Response,Cabbage sabji again for the fifth straight day.
Response,Calculating the circumference of Govardhan Hill.
Response,Calling the GBC.
Response,Kunti Devi dropping bars in her prayers.
Response,"Bhima, the man who loves eating literally everything."
Response,Cartwheeling into the middle of Ratha-yatra.
Response,Temple cat pee on the vyasasana cushion.
Response,Cavities from too many Govinda's sweets.
Response,Shakuni cheating at dice.
Response,Haldi fingers after cooking the Sunday Feast offering.
Response,Jambavan's chest hair.
Response,Chenna balls fresh from the kitchen!
Response,Gurukula kids scrubbing the pots at 4 AM.
Response,The kingdom of China described in the Mahabharata.
Response,Chugging a gallon of Yamuna water and then projectile vomiting charanamrita.
Response,"DURYO, the talking demoniac ape."
Response,Chunks of maha-prasadam halava stuck in your beard.
Response,Agarbatti addiction.
Response,Whatever creatures live in the Causal Ocean.
Response,Kali-yuga getting progressively worse.
Response,Climbing inside Aghasura's mouth thinking it's a cave.
Response,Cocktail-sized gulab jamuns.
Response,The one brahmachari who secretly has a coffee habit.
Response,"Cold, wet chapatis from last night's offering."
Response,Bhishma coming back from the brink on his bed of arrows for weeks.
Response,Complaining about the Sunday Feast like Duryodhana at a peace negotiation.
Response,Spiritual constipation from not chanting your rounds.
Response,Cool sunglasses on the six-armed form of Chaturvyuha.
Response,Covering my body with sesame oil and sliding across the temple marble floor like a snail.
Response,Covering myself with turmeric and tamarind because I am a samosa.
Response,Crab-walking from the bathroom to retrieve your dhoti that fell off at the other end of the ashram.
Response,Fresh cream for the Deity's abhisheka.
Response,"Creepy Durvasa Muni, a 10,000-year-old rishi who lives in the forest and shows up uninvited."
Response,When a karmi sees you doing dandavats in the airport.
Response,Arjuna's Gandiva bow.
Response,Crying in the bathroom after your japa score.
Response,The baby Krishna.
Response,Parashurama's anger management problems.
Response,Bhima's famous post-feast digestion.
Response,Lord Indra's demigod friends.
Response,Mataji's famous dahl that could bring Vaikuntha to earth.
Response,Prabhu's nasty feet after barefoot parikrama.
Response,Narasimhadeva's head on a normal guy's body.
Response,Dancing with my son like Nanda Maharaj at the birthday festival.
Response,Dried tulasi leaves: the forbidden protein supplement.
Response,Sudama Vipra.
Response,Dead dead dead demons from the Bhagavatam's tenth canto.
Response,The ultimate illusion that doesn't actually exist because we are eternal.
Response,"Deep-frying Prabhu's laptop full of ""only transcendental"" downloads."
Response,Letting your ox defecate on the neighbor's lawn during Govardhan parikrama.
Response,Demanding to speak to the Temple President.
Response,Hiranyakashipu destroying the three worlds.
Response,Shiva destroying the universe with his tandava.
Response,Diaper-wearing baby Krishna covered in butter and dirt.
Response,What happens after drinking Yamuna water without a filter.
Response,"Digging a hole, burying your japa beads in the hole, falling into the hole during Mangal arati, and dying in the hole in Vrindavan which is actually perfection."
Response,Prasadam.
Response,Disappointing your spiritual master.
Response,Ditching the morning program.
Response,"Sita and Ravana—wait, actually no, that's kidnapping."
Response,Doing Hanuman stuff.
Response,Doing a backflip onto the squat toilet and immediately regretting the rajasic feast.
Response,Committing Vaishnava aparadha and going to Yamaraja's court.
Response,Doing Kalaripayattu.
Response,"Narada the Explorer, traveling all fourteen planetary systems."
Response,Temple drama!
Response,Dreaming about brahmacharis.
Response,Drinking a whole bottle of mango lassi.
Response,Drinking caranamrta to see what it tastes like and then becoming spontaneously ecstatic.
Response,Drinking from the Yamuna and eating maha-prasadam off the floor like a proper sadhu.
Response,Drinking panchagavya from a silver cup with full Vedic ceremony.
Response,Drinking chai and smoking philosophy with the babajis.
Response,Driving a bullock cart on the highway.
Response,Driving around town on a ratha cart blasting Hare Krishna.
Response,Drunk-on-nectar devotees after the Gaura Purnima kirtan.
Response,A gopi whose singing makes everyone forget their bodies.
Response,"Dumbness as described in the mode of ignorance, Bhagavad-gita 14.8."
Response,Dump halava that someone tried to cook without a recipe.
Response,"Bhima ""The Mountain"" Sena."
Response,That one prabhu who tracks everyone's service hours on a clipboard.
Response,Dying of old age on a bed of arrows while waiting for Uttarayana.
Response,Ear wax from not cleaning your ears since taking the brahmachari vow.
Response,"Eating a whole tulasi plant, manjaris and all."
Response,Eating butter like baby Krishna.
Response,Eating Garuda's emergency provisions.
Response,Eating a burfi while doing parikrama around a sacred cow.
Response,Eating a kachori at Loi Bazaar on Ekadashi and immediately regretting it.
Response,Eating a firefly to gain Sudarshana Chakra powers.
Response,"Eating a rock laddu, getting the laddu stuck in your stomach, swallowing a second laddu to push out the first one, then getting that stuck, and then having to go to the Vrindavan hospital."
Response,Eating a whole roll of wicks meant for the ghee lamps.
Response,Eating an entire tray of gulab jamuns.
Response,Eating bicycles to somehow become famous like Bhima.
Response,Eating leftover maha-prasadam out of the donation box.
Response,Eating khichdi out of my chadar.
Response,Bakasura eating people.
Response,Eating green chilies and experiencing agni-hotra from the other end.
Response,"Eating toenail clippings because ""it's prasadam if you chant over it."""
Response,Eating with your feet because your hands are in your bead bag.
Response,Curd rice.
Response,Eight hours of uninterrupted maha-kirtan.
Response,Elegant Vaishnava turbans.
Response,Draupadi.
Response,Sattvic emotions.
Response,Everyone being so much in maya.
Response,Everyone in Bhagavatam class falling asleep at the same time.
Response,Evil walking dhotis possessed by a Kali-yuga ghost.
Response,Kali personified.
Response,Spontaneous combustion from offending a brahmana.
Response,Extra-warm buttermilk that's been sitting in the sun since the morning offering.
Response,Extremely tight kachcha-style dhoti that restricts all movement.
Response,Extreme coupon-clipping for bulk ghee at Costco.
Response,The lotus eyes of Lord Jagannatha.
Response,CONCHSHELL BLAST!
Response,Gopi-dots and tilak that won't stay on in the summer.
Response,Falling off the ratha cart.
Response,Falling off Govardhan Hill during parikrama.
Response,Offering a loud pranam and blaming the sound on the mridanga.
Response,Fanning Prabhupada's murti so aggressively it blows off his garland.
Response,Bottling Vrindavan dust and selling it on Etsy.
Response,Splashing around in Radha Kunda fully clothed.
Response,Force-feeding someone a tulasi leaf.
Response,Accidentally sitting on a harmonium during kirtan.
Response,Chanting so hard your bead bag rips.
Response,The post-feast-prasadam situation in the ashram bathroom.
Response,A Barbie doll in a sari with a shaved head.
Response,Fear of offending Vaishnavas.
Response,Fifty gallons of mango lassi flooding the temple kitchen.
Response,Fighting maya with my massive tilak.
Response,Finding a bay leaf in your khichri and thinking it's tulasi.
Response,Finding a whole neem twig in your Simply Wonderfuls.
Response,Kartals.
Response,Fire ants in the dandavat pit.
Response,The Agni in a proper Vedic yajna.
Response,Fist-fighting Hiranyakashipu.
Response,Five tiny brahmacharis in a saffron chaddar pretending to be a sannyasi.
Response,"This material body made of flesh, bone, and yesterday's subji."
Response,Flipping the table during a GBC meeting.
Response,ISKCON Alachua.
Response,Flying monkeys from Lanka.
Response,Forgetting your dhoti at the Sunday Feast.
Response,Four trillion rotisserie eggplants from the prasadam kitchen.
Response,Fourteen liters of Yamuna water.
Response,Free halava.
Response,Spiritual freedom from the cycle of birth and death.
Response,Exchanging garlands with your beloved.
Response,Kissing a toad who is actually Indra in disguise.
Response,Deep-fried paneer eyes on a Jagannatha cake.
Response,Transcendental friendship in the mood of Sudama and Krishna.
Response,The permanent frown of a temple authority when you show up late for mangala-arati.
Response,Full-body ecstatic trembling during the Gaura Arati.
Response,Lila.
Response,"Furries, but they are Jambavan's bear army."
Response,Caranmrita that's been sitting out since Janmashtami.
Response,The free bin at the temple gift shop.
Response,Getting a big smooch from the pujari who just ate raw garlic by accident.
Response,Getting a bunch of tilak tattoos and living in a van down by New Vrindavan.
Response,Getting a Simply Wonderful that's already been licked.
Response,Getting an A+ in Bhakti Shastri.
Response,Getting eaten by Bakasura.
Response,Getting grounded from kirtan forever.
Response,Getting kicked by a Vrindavan cow.
Response,Getting lost in the Mayapur campus.
Response,Getting my nose ring caught on my sari during arati.
Response,Getting my hand stuck in the donation box.
Response,Getting my sacred thread tangled in everything.
Response,Getting pushed into the Ganges fully clothed.
Response,Getting swatted by a pujari's chamara for touching the Deities.
Response,Getting your sikha stuck in the ceiling fan.
Response,Ghost pretas from the tenth canto.
Response,Ghosts who didn't finish their rounds.
Response,Giant Enemy Demon (Ravana's inflatable effigy at Dussehra).
Response,Gopi power.
Response,Gopis.
Response,"Giving birth to 16,108 sons because you married Krishna."
Response,"Giving my temple dog a huge, sloppy kiss after he rolled in cow dung."
Response,Kali-yuga.
Response,Going outside for the first time after a month-long Kartik vrata.
Response,Going to a restaurant and interrogating the waiter about onion and garlic.
Response,Going to Govindas.
Response,Going to the spiritual world.
Response,"Googling ""how to stay awake during Bhagavatam class."""
Response,Hanuman's army of monkeys.
